14,2.56,0.52,-1.48,-0.48,0.52,0.52,0.52,-2.48
28,1.56,1.52,-1.48,-1.48,0.52,0.52,1.52,-2.48
42,0.56,2.52,-1.48,-1.48,1.52,1.52,1.52,-2.48
56,0.56,2.52,-2.48,-2.48,0.52,1.52,1.52,-1.48
70,0.56,2.52,-2.48,-2.48,1.52,2.52,1.52,-3.48
84,0.56,3.52,-3.48,-2.48,1.52,2.52,1.52,-3.48
98,0.56,4.52,-3.48,-2.48,0.52,2.52,1.52,-3.48
112,0.56,5.52,-3.48,-2.48,-0.48,2.52,1.52,-3.48
126,0.56,4.52,-3.48,-3.48,-0.48,3.52,2.52,-4.48
140,-0.44,5.52,-2.48,-4.48,-0.48,3.52,2.52,-4.48
154,-0.44,5.52,-2.48,-4.48,-0.48,3.52,2.52,-4.48
